state_code,state_name_english,state_census2011_code,district_code,district_name_english,district_census2011_code,subdistrict_code,subdistrict_name_english,subdistrict_census2011_code,state_or_ut
2,Himachal Pradesh,2.0,20,Kullu,26.0,118,Kullu,118.0,S
20,Jharkhand,20.0,343,West Singhbhum,368.0,2744,Kumardungi,2744.0,S
2,Himachal Pradesh,2.0,23,Shimla,33.0,179,Kumarsain,179.0,S
33,Tamil Nadu,33.0,587,The Nilgiris,611.0,5759,Kundah,5759.0,S
8,Rajasthan,8.0,97,Dausa,109.0,7382,Kundal,0.0,S
21,Odisha,21.0,363,Koraput,398.0,3210,Kundura,3210.0,S
36,Telangana,0.0,680,Nirmal,0.0,4337,Kuntala,4337.0,S
2,Himachal Pradesh,2.0,23,Shimla,33.0,6962,Kupvi,0.0,S
1,Jammu And Kashmir,1.0,8,Kupwara,1.0,1,Kupwara,1.0,U
8,Rajasthan,8.0,117,Udaipur,130.0,7156,Kurabad,0.0,S
20,Jharkhand,20.0,342,Simdega,367.0,2720,Kurdeg,2720.0,S
33,Tamil Nadu,33.0,570,Cuddalore,617.0,5790,Kurinjipadi,5790.0,S
28,Andhra Pradesh,28.0,511,Kurnool,552.0,5259,Kurnool Rural,5259.0,S
10,Bihar,10.0,201,Katihar,212.0,1155,Kursela,1155.0,S
19,West Bengal,19.0,309,Darjeeling,327.0,2161,Kurseong,2161.0,S
22,Chhattisgarh,22.0,377,Dhamtari,412.0,3344,Kurud,3344.0,S
21,Odisha,21.0,373,Sundargarh,374.0,2813,Kutra,2813.0,S
12,Arunachal Pradesh,12.0,231,East Kameng,247.0,6098,Lada Circle,0.0,S
8,Rajasthan,8.0,109,Kota,127.0,667,Ladpura,667.0,S
9,Uttar Pradesh,9.0,183,Sitapur,154.0,805,Laharpur,805.0,S
